,True Label,RF Time
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,0
24,4,0
25,4,0
26,4,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,0
32,4,0
33,4,0
34,4,0
35,4,0
36,4,0
37,4,0
38,4,0
39,4,0
40,4,0
41,4,0
42,4,0
43,4,1
44,4,1
45,4,4
46,4,4
47,4,4
48,4,4
49,4,4
50,4,4
51,4,5
52,4,5
53,4,5
54,4,5
55,4,5
56,4,5
57,4,5
58,4,5
59,4,5
60,4,5
61,4,5
62,4,4
63,4,4
64,4,4
65,4,4
66,4,4
67,4,4
68,4,4
69,4,4
70,4,4
71,4,4
72,4,5
73,4,5
74,4,5
75,4,5
76,4,4
77,4,4
78,4,4
79,4,4
80,4,4
81,4,4
82,4,4
83,4,4
84,4,4
85,4,5
86,4,5
87,4,5
88,4,5
89,4,5
90,4,5
91,4,5
92,4,5
93,4,5
94,4,5
95,4,5
96,4,5
97,4,5
98,4,5
99,4,4
100,4,4
101,4,4
102,4,4
103,4,4
104,4,5
105,4,5
106,4,5
107,4,5
108,4,5
109,4,5
110,4,5
111,4,5
112,4,5
113,4,5
114,4,5
115,4,5
116,4,5
117,4,5
118,4,5
119,4,5
120,4,5
121,4,5
122,4,5
123,4,5
124,4,5
125,4,5
126,4,5
127,4,5
128,4,5
129,4,5
130,4,5
131,4,5
132,4,5
133,4,5
134,4,5
135,4,5
136,4,5
137,4,5
138,4,5
139,4,5
140,4,5
141,4,5
142,4,5
143,4,5
144,4,5
145,4,5
146,4,5
147,4,5
148,4,5
149,4,5
150,4,5
151,4,5
152,4,5
153,4,5
154,4,5
155,4,5
156,4,5
157,4,5
158,4,5
159,4,5
160,4,5
161,4,5
162,4,5
163,4,3
164,4,3
165,4,5
166,4,4
167,4,4
168,4,4
169,4,4
170,4,4
171,4,4
172,4,4
173,4,4
174,4,4
175,4,4
176,4,5
177,4,5
178,4,5
179,4,5
180,4,5
181,4,3
182,4,3
183,4,3
184,4,3
185,4,3
186,4,4
187,4,3
188,4,5
189,4,5
190,4,5
191,4,4
192,4,4
193,4,5
194,4,4
195,4,4
196,4,4
197,4,4
198,4,4
199,4,4
200,4,4
201,4,4
202,4,4
203,4,4
204,4,4
205,4,5
206,4,5
207,4,5
208,4,5
209,4,5
210,4,5
211,4,5
212,4,5
213,4,5
214,4,5
215,4,5
216,4,5
217,4,5
218,4,5
219,4,5
220,4,5
221,4,5
222,4,5
223,4,5
224,4,5
225,4,5
226,4,5
227,4,5
228,4,5
229,4,5
230,4,5
231,4,5
232,4,5
233,4,5
234,4,5
235,4,5
236,4,5
237,4,5
238,4,5
239,4,5
240,4,5
241,4,5
242,4,5
243,4,5
244,4,5
245,4,5
246,4,5
247,4,5
248,4,5
249,4,5
250,4,5
251,4,5
252,4,5
253,4,5
254,4,5
255,4,5
256,4,5
257,4,5
258,4,5
259,4,5
260,4,5
261,4,5
262,4,5
263,4,5
264,4,5
265,4,5
266,4,5
267,4,5
268,4,5
269,4,5
270,4,5
271,4,5
272,4,5
273,4,5
274,4,5
275,4,5
276,4,5
277,4,5
278,4,5
279,4,5
280,4,5
281,4,5
282,4,5
283,4,5
284,4,5
285,4,5
286,4,5
287,4,5
288,4,5
289,4,5
290,4,5
291,4,5
292,4,5
293,4,5
294,4,5
295,4,5
296,4,3
297,4,3
298,4,3
299,4,5
300,4,5
301,4,5
302,4,5
303,4,5
304,4,5
305,4,5
306,4,4
307,4,4
308,4,5
309,4,4
310,4,5
311,4,5
312,4,5
313,4,5
314,4,5
315,4,5
316,4,5
317,4,5
318,4,5
319,4,5
320,4,5
321,4,5
322,4,5
323,4,5
324,4,5
325,4,5
326,4,5
327,4,5
328,4,5
329,4,5
330,4,5
331,4,5
332,4,5
333,4,5
334,4,5
335,4,5
336,4,5
337,4,4
338,4,4
339,4,4
340,4,4
341,4,4
342,4,4
343,4,1
